date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:52:38	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:38%20GMT	https://totalsweet.co.uk/total-sweet-the-environment.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/total-sweet-the-environment.php	(from https://totalsweet.co.uk/)
08:52:38	20046/20046	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:38%20GMT	https://totalsweet.co.uk/diabetes/	/Users/justice/websites/totalsweet/totalsweet.co.uk/diabetes/index.html	(from https://totalsweet.co.uk/)
08:52:39	17332/17332	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:39%20GMT	https://totalsweet.co.uk/total-sweet-the-environment	/Users/justice/websites/totalsweet/totalsweet.co.uk/total-sweet-the-environment.html	(from https://totalsweet.co.uk/)
08:52:41	160507/160507	---M--	200	added ('OK')	image/png	etag:%22272fb-5e1929559de69%22	https://totalsweet.co.uk/admin/resources/promotions/tree-graphic-w500h500.png	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/promotions/tree-graphic-w500h500.png	(from https://totalsweet.co.uk/)
08:52:41	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:41%20GMT	https://totalsweet.co.uk/xylitol/index.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/index.php	(from https://totalsweet.co.uk/)
08:52:42	21263/21263	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:42%20GMT	https://totalsweet.co.uk/xylitol/index	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/index-2.html	(from https://totalsweet.co.uk/)
08:52:43	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:43%20GMT	https://totalsweet.co.uk/dog-owners.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/dog-owners.php	(from https://totalsweet.co.uk/)
08:52:44	16508/16508	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:44%20GMT	https://totalsweet.co.uk/dog-owners	/Users/justice/websites/totalsweet/totalsweet.co.uk/dog-owners.html	(from https://totalsweet.co.uk/)
08:52:45	28593/28593	---M--	200	added ('OK')	image/jpeg	etag:%226fb1-5e192888de499%22	https://totalsweet.co.uk/admin/resources/content/2022totalsweetproduct1987-w300h300.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/content/2022totalsweetproduct1987-w300h300.jpg	(from https://totalsweet.co.uk/)
08:52:46	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:46%20GMT	https://totalsweet.co.uk/benefits/dieters.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/dieters.php	(from https://totalsweet.co.uk/)
08:52:47	20420/20420	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:47%20GMT	https://totalsweet.co.uk/benefits/dieters	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/dieters.html	(from https://totalsweet.co.uk/)
08:52:48	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:48%20GMT	https://totalsweet.co.uk/benefits/dental.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/dental.php	(from https://totalsweet.co.uk/)
08:52:49	20023/20023	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:49%20GMT	https://totalsweet.co.uk/benefits/dental	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/dental.html	(from https://totalsweet.co.uk/)
08:52:50	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:50%20GMT	https://totalsweet.co.uk/benefits/cooking.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/cooking.php	(from https://totalsweet.co.uk/)
08:52:51	20044/20044	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:51%20GMT	https://totalsweet.co.uk/benefits/cooking	/Users/justice/websites/totalsweet/totalsweet.co.uk/benefits/cooking.html	(from https://totalsweet.co.uk/)
08:52:52	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:52%20GMT	https://totalsweet.co.uk/recipes/index.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/index.php	(from https://totalsweet.co.uk/)
08:52:54	81587/81587	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:53%20GMT	https://totalsweet.co.uk/recipes/index	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/index-2.html	(from https://totalsweet.co.uk/)
08:52:54	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:54%20GMT	https://totalsweet.co.uk/recipes/breakfast/perfect-pancakes.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/perfect-pancakes.php	(from https://totalsweet.co.uk/)
08:52:56	85272/85272	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:55%20GMT	https://totalsweet.co.uk/recipes/breakfast/perfect-pancakes	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/breakfast/perfect-pancakes.html	(from https://totalsweet.co.uk/)
08:52:56	11021/11021	---M--	200	added ('OK')	image/jpeg	etag:%222b0d-5e19298d46e61%22	https://totalsweet.co.uk/admin/resources/recipes/pancake01-w240h240.jpg	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/pancake01-w240h240.jpg	(from https://totalsweet.co.uk/)
08:52:57	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:52:57%20GMT	https://totalsweet.co.uk/recipes/desserts/no-bake-chocolate-tart.php	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/desserts/no-bake-chocolate-tart.php	(from https://totalsweet.co.uk/)
08:52:59	88218/88218	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:52:58%20GMT	https://totalsweet.co.uk/recipes/desserts/no-bake-chocolate-tart	/Users/justice/websites/totalsweet/totalsweet.co.uk/recipes/desserts/no-bake-chocolate-tart.html	(from https://totalsweet.co.uk/)
08:53:00	124389/124389	---M--	200	added ('OK')	image/png	etag:%221e5e5-5e1929f14b235%22	https://totalsweet.co.uk/admin/resources/recipes/no-bakechocolatetart-w240h240.png	/Users/justice/websites/totalsweet/totalsweet.co.uk/admin/resources/recipes/no-bakechocolatetart-w240h240.png	(from https://totalsweet.co.uk/)
08:53:01	190630/190630	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2023%20Nov%202022%2008:53:00%20GMT	https://code.createjs.com/createjs-2015.11.26.min.js	/Users/justice/websites/totalsweet/code.createjs.com/createjs-2015.11.26.min.js	(from https://totalsweet.co.uk/)
08:53:01	19726/19726	---M-Z	200	added ('OK')	application/javascript	etag:%224d0e-5e192a608346d-gzip%22	https://totalsweet.co.uk/js/banner.js	/Users/justice/websites/totalsweet/totalsweet.co.uk/js/banner.js	(from https://totalsweet.co.uk/)
08:53:02	955/955	---M--	200	added ('OK')	image/png	etag:%223bb-5e192a51ffb10%22	https://totalsweet.co.uk/images/ts-logo--reversed.png	/Users/justice/websites/totalsweet/totalsweet.co.uk/images/ts-logo--reversed.png	(from https://totalsweet.co.uk/)
08:53:03	24969/24969	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:03%20GMT	https://totalsweet.co.uk/privacy-and-terms-conditions	/Users/justice/websites/totalsweet/totalsweet.co.uk/privacy-and-terms-conditions.html	(from https://totalsweet.co.uk/)
08:53:05	100540/100540	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:04%20GMT	https://totalsweet.co.uk/study	/Users/justice/websites/totalsweet/totalsweet.co.uk/study.html	(from https://totalsweet.co.uk/)
08:53:05	18626/18626	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:05%20GMT	https://totalsweet.co.uk/xylitol/about	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/about.html	(from https://totalsweet.co.uk/)
08:53:06	19642/19642	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:06%20GMT	https://totalsweet.co.uk/contact-us	/Users/justice/websites/totalsweet/totalsweet.co.uk/contact-us.html	(from https://totalsweet.co.uk/)
08:53:07	23363/23363	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:07%20GMT	https://totalsweet.co.uk/xylitol/faqs	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/faqs.html	(from https://totalsweet.co.uk/)
08:53:08	32320/32320	---M--	200	added ('OK')	image/png	etag:%227e40-5e192a5cb1054%22	https://totalsweet.co.uk/images/graphics/footer-package.png	/Users/justice/websites/totalsweet/totalsweet.co.uk/images/graphics/footer-package.png	(from https://totalsweet.co.uk/)
08:53:09	15888/15888	---M-Z	200	added ('OK')	application/javascript	etag:%223e10-5e192a61c9843-gzip%22	https://totalsweet.co.uk/js/vendor/require.js	/Users/justice/websites/totalsweet/totalsweet.co.uk/js/vendor/require.js	(from https://totalsweet.co.uk/)
08:53:11	884/884	---MC-	200	added ('OK')	text/javascript	date:Wed,%2023%20Nov%202022%2008:53:10%20GMT	https://www.google.com/recaptcha/api.js?render=6LcStukUAAAAADjFtZOvDEUidVtwAQCallQWmOf1	/Users/justice/websites/totalsweet/www.google.com/recaptcha/api6eb3.js	(from https://totalsweet.co.uk/)
08:53:11	25896/25896	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:11%20GMT	https://totalsweet.co.uk/xylitol/expert-opinion	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/expert-opinion.html	(from https://totalsweet.co.uk/xylitol/)
08:53:12	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Nov%202022%2008:53:12%20GMT	http://totalsweet.co.uk/xylitol/how-is-our-xylitol-made	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/how-is-our-xylitol-made.32.delayed	(from https://totalsweet.co.uk/xylitol/)
08:53:13	15913/15913	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2008:53:13%20GMT	https://totalsweet.co.uk/xylitol/how-is-our-xylitol-made	/Users/justice/websites/totalsweet/totalsweet.co.uk/xylitol/how-is-our-xylitol-made.html	(from https://totalsweet.co.uk/xylitol/)
